Boer_ID,Irrigatie_toegang (0-3)
Boer_60,1
Boer_60,1
Boer_60,3
Boer_60,3
Boer_60,1
Boer_60,3
Boer_60,2
Boer_60,0
Boer_60,2
Boer_60,0
Boer_60,2
Boer_60,3
Boer_60,0
Boer_60,2
Boer_60,3
Boer_60,0
Boer_60,2
Boer_60,0
Boer_60,2
Boer_60,1
Boer_60,3
Boer_60,3
Boer_60,1
Boer_60,0
Boer_60,2
Boer_60,2
Boer_60,1
Boer_60,2
Boer_60,0
Boer_60,2
Boer_60,0
Boer_60,0
Boer_60,0
Boer_60,3
Boer_60,1
Boer_60,0
Boer_60,1
Boer_60,1
Boer_60,2
Boer_60,0
Boer_60,1
Boer_60,0
Boer_60,2
Boer_60,1
Boer_60,1
Boer_60,2
Boer_60,3
Boer_60,0
Boer_60,3
Boer_60,0
